308,,White-breasted Nuthatch,Sitta carolinensis,regular,,
309,,Brown-headed Nuthatch,Sitta pusilla,accidental,1 record,Review
,,,,,,
,Creepers,Creepers,,,,
310,,Brown Creeper,Certhia americana,regular,,
,,,,,,
,Gnatcatchers,Gnatcatchers,,,,
311,,Blue-gray Gnatcatcher,Polioptila caerulea,regular,,
,,,,,,
,Wrens,Wrens,,,,
312,,Rock Wren,Salpinctes obsoletus,accidental,2 records,Review
313,,Bewick's Wren,Thryomanes bewickii,accidental,,Review
314,,Carolina Wren,Thryothorus ludovicianus,regular,,
315,,Northern House Wren,Troglodytes aedon,regular,,
316,,Winter Wren,Troglodytes hiemalis,regular,,
317,,Sedge Wren,Cistothorus stellaris,regular,,
318,,Marsh Wren,Cistothorus palustris,regular,,
,,,,,,
,Mockingbirds and Thrashers,Mockingbirds and Thrashers,,,,
319,,Gray Catbird,Dumetella carolinensis,regular,,
320,,Curve-billed Thrasher,Toxostoma curvirostre,accidental,2 records,Review
321,,Brown Thrasher,Toxostoma rufum,regular,,
322,,Sage Thrasher,Oreoscoptes montanus,accidental,6 records,Review
323,,Northern Mockingbird,Mimus polyglottos,rare,,
,,,,,,
,Starlings,Starlings,,,,
324,,European Starling,Sturnus vulgaris,regular,,
,,,,,,
,Thrushes,Thrushes,,,,
325,,Eastern Bluebird,Sialia sialis,regular,,
326,,Mountain Bluebird,Sialia currucoides,casual,,Review
327,,Townsend's Solitaire,Myadestes townsendi,rare,,
328,,Veery,Catharus fuscescens,regular,,
329,,Gray-cheeked Thrush,Catharus minimus,regular,,
330,,Swainson's Thrush,Catharus ustulatus,regular,,
331,,Hermit Thrush,Catharus guttatus,regular,,
332,,Wood Thrush,Hylocichla mustelina,regular,,
333,,Fieldfare,Turdus pilaris,accidental,1 record,Pending RC Acceptance
334,,American Robin,Turdus migratorius,regular,,
335,,Varied Thrush,Ixoreus naevius,rare,,
,,,,,,
,Old World Sparrows,Old World Sparrows,,,,
336,,House Sparrow,Passer domesticus,regular,,
337,,Eurasian Tree Sparrow,Passer montanus,casual,,
,,,,,,
,Wagtails and Pipits,Wagtails and Pipits,,,,
338,,White Wagtail,Motacilla alba,rare,1 record,Pending RC Acceptance
339,,American Pipit,Anthus rubescens,regular,,
340,,Sprague's Pipit,Anthus spragueii,accidental,5 records,
,,,,,,
,Fringilline and Cardueline Finches and Allies,Fringilline and Cardueline Finches and Allies,,,,
341,,Brambling,Fringilla montifringilla,accidental,3 records,Review
342,,Evening Grosbeak,Coccothraustes vespertinus,regular,,
343,,Pine Grosbeak,Pinicola enucleator,regular,,
344,,Gray-crowned Rosy-Finch,Leucosticte tephrocotis,accidental,7 records,Review
345,,House Finch,Haemorhous mexicanus,regular,,
346,,Purple Finch,Haemorhous purpureus,regular,,
347,,Redpoll,Acanthis flammea,regular,,
348,,Red Crossbill,Loxia curvirostra,regular,,
349,,White-winged Crossbill,Loxia leucoptera,regular,,
350,,European Goldfinch,Carduelis carduelis,regular,limited range,
351,,Pine Siskin,Spinus pinus,regular,,
352,,Lesser Goldfinch,Spinus psaltria,accidental,2 records,Review
353,,American Goldfinch,Spinus tristis,regular,,
,,,,,,
,Longspurs and Snow Buntings,Longspurs and Snow Buntings,,,,
354,,Lapland Longspur,Calcarius lapponicus,regular,,
355,,Chestnut-collared Longspur,Calcarius ornatus,accidental,4 records,Review
356,,Smith's Longspur,Calcarius pictus,casual,,Review
357,,Snow Bunting,Plectrophenax nivalis,regular,,
,,,,,,
,Emberizids,Emberizids,,,,
358,,Grasshopper Sparrow,Ammodramus savannarum,regular,,
359,,Black-throated Sparrow,Amphispiza bilineata,accidental,7 records,Review
360,,Lark Sparrow,Chondestes grammacus,regular,,
361,,Lark Bunting,Calamospiza melanocorys,casual,,Review
362,,Chipping Sparrow,Spizella passerina,regular,,
363,,Clay-colored Sparrow,Spizella pallida,regular,,
364,,Field Sparrow,Spizella pusilla,regular,,
365,,Fox Sparrow,Passerella iliaca,regular,,
366,,American Tree Sparrow,Spizelloides arborea,regular,,
367,,Dark-eyed Junco,Junco hyemalis,regular,,
368,,White-crowned Sparrow,Zonotrichia leucophrys,regular,,
369,,Golden-crowned Sparrow,Zonotrichia atricapilla,accidental,13 records,Review
370,,Harris's Sparrow,Zonotrichia querula,rare,,
371,,White-throated Sparrow,Zonotrichia albicollis,regular,,
372,,Vesper Sparrow,Pooecetes gramineus,regular,,
373,,LeConte's Sparrow,Ammospiza leconteii,regular,,
374,,Nelson's Sparrow,Ammospiza nelsoni,rare,,
375,,Baird's Sparrow,Centronyx bairdii,accidental,7 records,Review
376,,Henslow's Sparrow,Centronyx henslowii,regular,,
377,,Savannah Sparrow,Passerculus sandwichensis,regular,,
378,,Song Sparrow,Melospiza melodia,regular,,
379,,Lincoln's Sparrow,Melospiza lincolnii,regular,,
380,,Swamp Sparrow,Melospiza georgiana,regular,,
381,,Rufous-crowned Sparrow,Aimophila ruficeps,accidental,1 record,Review
382,,Green-tailed Towhee,Pipilo chlorurus,accidental,10 records,Review
383,,Spotted Towhee,Pipilo maculatus,casual,,Review
384,,Eastern Towhee,Pipilo erythrophthalmus,regular,,
,,,,,,
,Yellow-breasted Chats,Yellow-breasted Chats,,,,
385,,Yellow-breasted Chat,Icteria virens,regular,,
,,,,,,
,Blackbirds,Blackbirds,,,,
386,,Yellow-headed Blackbird,Xanthocephalus xanthocephalus,regular,,
387,,Bobolink,Dolichonyx oryzivorus,regular,,
388,,Eastern Meadowlark,Sturnella magna,regular,,
389,,Western Meadowlark,Sturnella neglecta,regular,,
390,,Orchard Oriole,Icterus spurius,regular,,
391,,Hooded Oriole,Icterus cucullatus,accidental,4 records,Review
392,,Streak-backed Oriole,Icterus pustulatus,accidental,1 record,Review
393,,Bullock's Oriole,Icterus bullockii,accidental,10 records,Review
394,,Baltimore Oriole,Icterus galbula,regular,,
395,,Scott's Oriole,Icterus parisorum,accidental,2 records,Review
396,,Red-winged Blackbird,Agelaius phoeniceus,regular,,
397,,Brown-headed Cowbird,Molothrus ater,regular,,
398,,Rusty Blackbird,Euphagus carolinus,regular,,
399,,Brewer's Blackbird,Euphagus cyanocephalus,regular,,
400,,Common Grackle,Quiscalus quiscula,regular,,
401,,Great-tailed Grackle,Quiscalus mexicanus,accidental,3 records,Review
,,,,,,
,Wood-Warblers,Wood-Warblers,,,,
402,,Ovenbird,Seiurus aurocapilla,regular,,
403,,Worm-eating Warbler,Helmitheros vermivorum,rare,,
404,,Louisiana Waterthrush,Parkesia motacilla,regular,,
405,,Northern Waterthrush,Parkesia noveboracensis,regular,,
406,,Golden-winged Warbler,Vermivora chrysoptera,regular,,
407,,Blue-winged Warbler,Vermivora cyanoptera,regular,,
408,,Black-and-white Warbler,Mniotilta varia,regular,,
409,,Prothonotary Warbler,Protonotaria citrea,regular,,
410,,Swainson's Warbler,Limnothlypis swainsonii,accidental,2 records,Review
411,,Tennessee Warbler,Leiothlypis peregrina,regular,,
412,,Orange-crowned Warbler,Leiothlypis celata,regular,,
